SFinal,TipoDes,ExG,GEtario,Sexo,BTRV,BFA,BFPT,BPDT,NEdu,MáxNFPT,OcuEco,TipoBIE,EISUN,PSS,TipoASS,Pareja,Hijos,Gfam,TipoVivienda,SerPúb,RegSalud
Fracaso,Individual,ELN,Entre 18 y 25 años,Masculino,No,No,No,No,Básica Primaria,No Aplica,Desocupados,No Aplica,No Aplica,No Vinculado Ser Social,No Aplica,No,0,1,Apartamento,Sí,S - SUBSIDIADO
Fracaso,Individual,FARC,Entre 18 y 25 años,Masculino,No,No,No,No,Básica Secundaria,No Aplica,Desocupados,No Aplica,No Aplica,No Vinculado Ser Social,No Aplica,No,0,2,Casa,Sí,S - SUBSIDIADO
Fracaso,Individual,FARC,Entre 18 y 25 años,Femenino,No,No,No,No,Sin Nivel,Complementario,Desocupados,No Aplica,No Aplica,No Vinculado Ser Social,No Aplica,No,0,1,Rancho,No,No posee
Fracaso,Individual,FARC,Entre 18 y 25 años,Masculino,No,No,No,No,Básica Secundaria,Técnico,Desocupados,No Aplica,No Aplica,No Vinculado Ser Social,No Aplica,No,0,1,Casa,Sí,No posee
Fracaso,Individual,FARC,Entre 18 y 25 años,Masculino,No,No,No,No,Básica Secundaria,No Aplica,Desocupados,No Aplica,No Aplica,No Vinculado Ser Social,No Aplica,No,0,1,Casa,Sí,No posee
Fracaso,Individual,FARC,Entre 18 y 25 años,Masculino,No,No,No,No,Básica Primaria,Complementario,Desocupados,No Aplica,No Aplica,No Vinculado Ser Social,No Aplica,No,0,1,Casa,No,S - SUBSIDIADO
Fracaso,Individual,FARC,Entre 18 y 25 años,Masculino,No,No,No,No,Básica Primaria,No Aplica,Desocupados,No Aplica,No Aplica,No Vinculado Ser Social,Embeller Esp Pub,No,0,2,Casa,No,S - SUBSIDIADO
Fracaso,Individual,FARC,Entre 18 y 25 años,Masculino,No,No,No,No,Sin Nivel,No Aplica,Desocupados,No Aplica,No Aplica,No Vinculado Ser Social,No Aplica,No,0,1,Casa,Sí,S - SUBSIDIADO
Fracaso,Individual,FARC,Entre 18 y 25 años,Femenino,No,No,No,No,Básica Secundaria,No Aplica,Desocupados,No Aplica,No Aplica,No Vinculado Ser Social,Multiplicar Conocimiento,No,0,4,Casa,Sí,S - SUBSIDIADO
Fracaso,Individual,FARC,Entre 18 y 25 años,Masculino,No,No,No,No,Básica Primaria,No Aplica,Desocupados,No Aplica,No Aplica,No Vinculado Ser Social,No Aplica,No,0,1,Habitación,No,No posee
Fracaso,Individual,FARC,Entre 18 y 25 años,Masculino,No,No,No,No,Básica Secundaria,Técnico,Desocupados,No Aplica,No Aplica,No Vinculado Ser Social,No Aplica,No,0,2,Casa,Sí,No posee
Fracaso,Individual,FARC,Entre 18 y 25 años,Masculino,No,No,No,No,Básica Secundaria,No Aplica,Desocupados,No Aplica,No Aplica,No Vinculado Ser Social,No Aplica,No,0,1,Apartamento,No,S - SUBSIDIADO
